Dataset is copied to /tmp
Epoch: [0]  [  440/15000]  eta: 0:48:43  lr: 0.002208  loss: 0.2962 (0.7943)  loss_classifier: 0.1587 (0.5469)  loss_box_reg: 0.0912 (0.0971)  loss_objectness: 0.0287 (0.1217)  loss_rpn_box_reg: 0.0175 (0.0287)  time: 0.1964  data: 0.0055  max mem: 4119
Epoch: [0]  [  450/15000]  eta: 0:48:38  lr: 0.002258  loss: 0.2962 (0.7841)  loss_classifier: 0.1585 (0.5389)  loss_box_reg: 0.0902 (0.0970)  loss_objectness: 0.0296 (0.1197)  loss_rpn_box_reg: 0.0138 (0.0285)  time: 0.1907  data: 0.0053  max mem: 4119
Epoch: [0]  [  460/15000]  eta: 0:48:31  lr: 0.002308  loss: 0.3089 (0.7744)  loss_classifier: 0.1585 (0.5311)  loss_box_reg: 0.0837 (0.0968)  loss_objectness: 0.0329 (0.1180)  loss_rpn_box_reg: 0.0131 (0.0284)  time: 0.1883  data: 0.0052  max mem: 4119
Epoch: [0]  [  470/15000]  eta: 0:48:27  lr: 0.002358  loss: 0.2945 (0.7648)  loss_classifier: 0.1444 (0.5232)  loss_box_reg: 0.0794 (0.0967)  loss_objectness: 0.0304 (0.1163)  loss_rpn_box_reg: 0.0171 (0.0285)  time: 0.1887  data: 0.0051  max mem: 4119
Epoch: [0]  [  480/15000]  eta: 0:48:21  lr: 0.002408  loss: 0.2945 (0.7587)  loss_classifier: 0.1444 (0.5168)  loss_box_reg: 0.0794 (0.0970)  loss_objectness: 0.0278 (0.1157)  loss_rpn_box_reg: 0.0305 (0.0291)  time: 0.1896  data: 0.0050  max mem: 4119
Epoch: [0]  [  490/15000]  eta: 0:48:22  lr: 0.002458  loss: 0.4373 (0.7528)  loss_classifier: 0.2039 (0.5116)  loss_box_reg: 0.1321 (0.0981)  loss_objectness: 0.0379 (0.1142)  loss_rpn_box_reg: 0.0276 (0.0290)  time: 0.1991  data: 0.0051  max mem: 4119
Epoch: [0]  [  500/15000]  eta: 0:48:18  lr: 0.002507  loss: 0.3238 (0.7434)  loss_classifier: 0.1768 (0.5042)  loss_box_reg: 0.1031 (0.0977)  loss_objectness: 0.0253 (0.1124)  loss_rpn_box_reg: 0.0253 (0.0291)  time: 0.2011  data: 0.0051  max mem: 4119
Epoch: [0]  [  510/15000]  eta: 0:48:10  lr: 0.002557  loss: 0.2632 (0.7350)  loss_classifier: 0.1252 (0.4977)  loss_box_reg: 0.0707 (0.0978)  loss_objectness: 0.0221 (0.1106)  loss_rpn_box_reg: 0.0200 (0.0288)  time: 0.1850  data: 0.0051  max mem: 4119
Epoch: [0]  [  520/15000]  eta: 0:48:03  lr: 0.002607  loss: 0.2632 (0.7270)  loss_classifier: 0.1279 (0.4914)  loss_box_reg: 0.0866 (0.0977)  loss_objectness: 0.0239 (0.1092)  loss_rpn_box_reg: 0.0164 (0.0287)  time: 0.1812  data: 0.0051  max mem: 4119
Epoch: [0]  [  530/15000]  eta: 0:47:58  lr: 0.002657  loss: 0.3009 (0.7198)  loss_classifier: 0.1704 (0.4858)  loss_box_reg: 0.0906 (0.0978)  loss_objectness: 0.0194 (0.1077)  loss_rpn_box_reg: 0.0162 (0.0285)  time: 0.1845  data: 0.0052  max mem: 4119
Epoch: [0]  [  540/15000]  eta: 0:47:53  lr: 0.002707  loss: 0.3037 (0.7127)  loss_classifier: 0.1704 (0.4801)  loss_box_reg: 0.0942 (0.0981)  loss_objectness: 0.0244 (0.1061)  loss_rpn_box_reg: 0.0122 (0.0284)  time: 0.1870  data: 0.0053  max mem: 4119
Epoch: [0]  [  550/15000]  eta: 0:47:48  lr: 0.002757  loss: 0.3054 (0.7054)  loss_classifier: 0.1612 (0.4745)  loss_box_reg: 0.1031 (0.0984)  loss_objectness: 0.0184 (0.1045)  loss_rpn_box_reg: 0.0095 (0.0280)  time: 0.1881  data: 0.0052  max mem: 4119
Epoch: [0]  [  560/15000]  eta: 0:47:45  lr: 0.002807  loss: 0.2791 (0.6986)  loss_classifier: 0.1545 (0.4690)  loss_box_reg: 0.1031 (0.0988)  loss_objectness: 0.0184 (0.1031)  loss_rpn_box_reg: 0.0081 (0.0278)  time: 0.1905  data: 0.0051  max mem: 4119
Epoch: [0]  [  570/15000]  eta: 0:47:39  lr: 0.002857  loss: 0.2810 (0.6922)  loss_classifier: 0.1545 (0.4639)  loss_box_reg: 0.0987 (0.0990)  loss_objectness: 0.0182 (0.1018)  loss_rpn_box_reg: 0.0082 (0.0276)  time: 0.1890  data: 0.0052  max mem: 4119
Epoch: [0]  [  580/15000]  eta: 0:47:31  lr: 0.002907  loss: 0.3158 (0.6860)  loss_classifier: 0.1843 (0.4590)  loss_box_reg: 0.0977 (0.0991)  loss_objectness: 0.0191 (0.1005)  loss_rpn_box_reg: 0.0161 (0.0274)  time: 0.1784  data: 0.0053  max mem: 4119
Epoch: [0]  [  590/15000]  eta: 0:47:29  lr: 0.002957  loss: 0.3216 (0.6810)  loss_classifier: 0.1829 (0.4548)  loss_box_reg: 0.0977 (0.0993)  loss_objectness: 0.0208 (0.0994)  loss_rpn_box_reg: 0.0183 (0.0275)  time: 0.1850  data: 0.0052  max mem: 4119
